personnel_id,original_ref_id,age,gender,department,job_role,job_level,education_level,education_field,marital_status,distance_from_home,business_travel,overtime_eligible,total_working_years,years_in_service,years_in_current_role,years_since_last_promotion,years_with_curr_supervisor,baseline_env_satisfaction,baseline_job_satisfaction,baseline_job_involvement,baseline_work_life_balance,baseline_rel_satisfaction,performance_rating,training_times_last_year,monthly_income,percent_salary_hike,num_prior_organizations,hr_attrition_historical
P-000318,RM1198,20,Male,Sales,Sales Representative,1,1,Life Sciences,Single,9,Travel_Rarely,No,2,2,2,0,2.0,4,1,3,3,1,3,3,2728,11,1,No
P-000319,RM1199,33,Female,Sales,Sales Executive,2,3,Life Sciences,Divorced,16,Non-Travel,Yes,7,6,5,1,2.0,3,4,3,3,3,4,2,5368,25,1,No
P-000320,RM120,43,Male,Sales,Manager,4,2,Life Sciences,Married,26,Travel_Frequently,Yes,25,25,12,4,12.0,3,4,3,4,4,3,3,16959,12,1,No
P-000321,RM1200,36,Male,Research & Development,Healthcare Representative,2,4,Life Sciences,Married,26,Travel_Rarely,No,10,3,2,0,2.0,1,3,3,2,2,3,2,5347,14,6,No
P-000322,RM1201,44,Female,Human Resources,Human Resources,1,3,Life Sciences,Divorced,1,Travel_Rarely,Yes,8,2,2,2,2.0,3,4,3,3,1,3,2,3195,18,4,No
P-000323,RM1202,23,Male,Research & Development,Laboratory Technician,1,1,Medical,Single,8,Travel_Rarely,Yes,5,5,4,1,2.0,4,3,2,3,1,3,2,3989,11,1,Yes
P-000324,RM1203,38,Female,Research & Development,Laboratory Technician,1,2,Medical,Married,4,Travel_Rarely,No,7,0,0,0,0.0,4,3,3,2,4,3,5,3306,19,7,No
P-000325,RM1204,53,Male,Research & Development,Healthcare Representative,3,4,Medical,Married,24,Travel_Rarely,No,11,4,3,1,2.0,2,4,4,3,3,3,2,7005,15,3,No
P-000326,RM1205,48,Female,Sales,Sales Representative,1,2,Medical,Married,7,Travel_Frequently,Yes,19,9,7,7,7.0,4,3,3,3,3,3,3,2655,11,2,Yes
P-000327,RM1206,32,Male,Research & Development,Laboratory Technician,1,4,Life Sciences,Single,2,Travel_Rarely,No,1,1,0,0,0.0,4,2,3,3,1,3,2,1393,12,1,Yes
P-000328,RM1207,26,Male,Research & Development,Laboratory Technician,1,3,Medical,Single,7,Non-Travel,No,7,7,7,5,7.0,4,4,3,3,3,4,5,2570,20,1,No
P-000329,RM1208,55,Male,Research & Development,Research Scientist,1,3,Technical Degree,Divorced,22,Travel_Rarely,No,8,4,2,1,2.0,1,2,2,3,4,3,1,3537,12,5,No
P-000330,RM1209,34,Male,Research & Development,Laboratory Technician,2,2,Medical,Married,5,Travel_Rarely,No,15,15,10,4,13.0,2,4,2,4,3,3,3,3986,14,1,No
P-000331,RM121,30,Male,Research & Development,Research Scientist,1,3,Life Sciences,Divorced,23,Travel_Frequently,No,10,10,7,0,9.0,1,3,1,2,3,4,2,2613,25,1,No
P-000332,RM1210,60,Male,Research & Development,Healthcare Representative,3,4,Medical,Divorced,1,Travel_Rarely,No,19,1,0,0,0.0,3,4,1,4,3,4,2,10883,20,3,No
P-000333,RM1211,33,Male,Research & Development,Laboratory Technician,1,3,Medical,Married,21,Travel_Rarely,No,14,14,11,2,13.0,2,2,4,3,4,3,6,2028,18,1,No
P-000334,RM1212,37,Male,Sales,Sales Executive,2,4,Medical,Divorced,1,Travel_Frequently,No,6,6,3,1,3.0,3,4,1,2,3,3,2,9525,14,1,No
P-000335,RM1213,34,Female,Research & Development,Research Scientist,1,3,Life Sciences,Married,19,Travel_Rarely,No,10,10,9,8,7.0,2,4,2,3,2,3,3,2929,12,1,No
P-000336,RM1214,23,Male,Sales,Sales Representative,1,3,Life Sciences,Divorced,7,Travel_Rarely,Yes,3,3,2,0,2.0,3,4,3,3,2,4,2,2275,21,1,Yes
P-000337,RM1215,44,Female,Research & Development,Healthcare Representative,3,3,Life Sciences,Married,2,Travel_Rarely,Yes,9,8,7,6,7.0,3,4,4,3,2,3,2,7879,19,1,No
P-000338,RM1216,35,Male,Research & Development,Research Scientist,1,4,Medical,Single,2,Travel_Frequently,Yes,6,5,4,1,4.0,1,4,2,4,3,3,2,4930,14,0,No
P-000339,RM1217,43,Male,Sales,Sales Executive,2,3,Medical,Married,2,Travel_Rarely,Yes,10,10,9,8,8.0,4,4,3,3,1,3,3,7847,17,1,No
P-000340,RM1218,24,Male,Research & Development,Research Scientist,1,3,Medical,Married,9,Travel_Rarely,No,5,5,3,0,4.0,3,3,4,3,4,3,1,4401,16,1,No
P-000341,RM1219,41,Male,Sales,Sales Executive,3,3,Marketing,Single,6,Travel_Rarely,No,10,10,8,8,7.0,4,3,3,3,2,3,3,9241,12,1,No
P-000342,RM122,33,Male,Sales,Sales Executive,2,2,Marketing,Married,22,Non-Travel,No,8,7,7,0,7.0,3,2,3,4,1,3,2,6146,13,0,No
P-000343,RM1220,29,Female,Research & Development,Laboratory Technician,1,4,Medical,Married,9,Travel_Rarely,No,9,5,3,1,2.0,4,3,3,3,3,3,2,2974,17,9,No
P-000344,RM1221,36,Female,Sales,Sales Representative,2,4,Life Sciences,Single,2,Travel_Rarely,No,17,13,7,6,7.0,3,4,3,2,3,3,2,4502,15,3,No
P-000345,RM1222,45,Male,Research & Development,Healthcare Representative,3,1,Life Sciences,Married,1,Non-Travel,No,25,23,15,14,4.0,3,3,2,2,4,4,3,10748,23,3,No
P-000346,RM1223,24,Male,Human Resources,Human Resources,1,1,Human Resources,Married,22,Travel_Rarely,No,1,1,0,0,0.0,4,3,1,3,3,3,2,1555,11,1,Yes
P-000347,RM1224,47,Male,Sales,Sales Executive,4,3,Life Sciences,Married,9,Travel_Frequently,No,25,23,5,14,10.0,3,3,1,1,3,3,3,12936,11,7,Yes
P-000348,RM1225,26,Male,Research & Development,Laboratory Technician,1,4,Medical,Married,17,Travel_Rarely,No,3,3,2,0,2.0,4,3,1,4,3,3,3,2305,15,1,No
P-000349,RM1226,45,Female,Research & Development,Research Director,4,2,Technical Degree,Single,28,Travel_Rarely,No,21,21,6,8,6.0,4,2,2,3,3,3,2,16704,11,1,No
P-000350,RM1227,32,Male,Research & Development,Research Scientist,1,3,Life Sciences,Married,10,Travel_Frequently,No,10,5,2,1,3.0,1,3,3,2,1,3,3,3433,13,6,No
P-000351,RM1228,31,Male,Research & Development,Laboratory Technician,1,4,Life Sciences,Married,2,Travel_Rarely,No,6,5,2,0,3.0,2,3,3,4,4,3,2,3477,14,1,No
P-000352,RM1229,41,Male,Human Resources,Human Resources,2,3,Human Resources,Married,4,Non-Travel,No,10,3,2,1,2.0,3,2,1,3,2,3,4,6430,19,6,No
P-000353,RM123,56,Female,Research & Development,Research Scientist,1,4,Life Sciences,Married,14,Travel_Rarely,Yes,7,5,4,4,3.0,2,2,3,3,1,3,2,4963,18,9,Yes
P-000354,RM1230,40,Female,Research & Development,Manufacturing Director,2,2,Life Sciences,Married,8,Travel_Rarely,Yes,18,1,0,0,0.0,2,1,3,3,2,3,3,6516,16,2,No
P-000355,RM1231,24,Male,Research & Development,Laboratory Technician,1,1,Medical,Divorced,29,Travel_Rarely,No,6,6,2,1,2.0,2,1,3,4,2,3,2,3907,13,1,No
P-000356,RM1232,46,Male,Research & Development,Healthcare Representative,2,4,Life Sciences,Single,13,Travel_Rarely,No,19,10,7,0,9.0,3,2,3,3,4,3,3,5562,14,6,No
P-000357,RM1233,35,Male,Research & Development,Manufacturing Director,2,4,Life Sciences,Married,27,Travel_Rarely,No,17,7,7,0,7.0,4,3,3,3,2,3,3,6883,16,2,No
P-000358,RM1234,30,Male,Research & Development,Research Scientist,1,1,Life Sciences,Married,16,Travel_Rarely,No,10,10,0,0,8.0,2,4,3,2,2,3,2,2862,12,1,No
P-000359,RM1235,47,Male,Sales,Sales Executive,2,4,Marketing,Married,2,Non-Travel,No,4,1,0,0,0.0,3,2,3,1,4,3,3,4978,11,7,No
P-000360,RM1236,46,Male,Sales,Sales Executive,3,3,Life Sciences,Divorced,2,Travel_Rarely,Yes,13,10,6,0,3.0,3,4,3,2,2,3,5,10368,12,4,No
P-000361,RM1237,36,Male,Sales,Sales Executive,2,5,Marketing,Divorced,13,Travel_Rarely,Yes,16,2,2,2,2.0,2,1,2,3,2,3,3,6134,13,5,Yes
P-000362,RM1238,32,Male,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,No,10,0,0,0,0.0,1,2,1,3,2,3,2,6735,15,6,Yes
P-000363,RM1239,23,Female,Research & Development,Laboratory Technician,1,1,Medical,Single,4,Travel_Rarely,No,3,3,2,1,2.0,3,2,3,1,3,3,3,3295,13,1,No
P-000364,RM124,51,Male,Research & Development,Research Director,5,3,Life Sciences,Single,6,Travel_Rarely,No,23,20,18,15,15.0,1,3,3,3,3,3,5,19537,13,7,No
P-000365,RM1240,31,Female,Research & Development,Manufacturing Director,2,1,Technical Degree,Single,24,Travel_Frequently,No,9,5,4,1,4.0,4,4,3,2,4,4,3,5238,20,2,No
P-000366,RM1241,39,Male,Research & Development,Laboratory Technician,2,3,Life Sciences,Married,1,Non-Travel,Yes,9,9,8,5,8.0,4,4,3,3,4,3,2,6472,15,1,No
P-000367,RM1242,32,Male,Sales,Sales Executive,3,3,Life Sciences,Married,19,Travel_Rarely,No,10,4,3,0,2.0,4,3,1,1,3,3,2,9610,13,3,No
P-000368,RM1243,40,Male,Sales,Manager,5,4,Medical,Single,7,Travel_Rarely,No,21,21,8,12,8.0,2,2,3,2,2,3,3,19833,14,1,No
P-000369,RM1244,45,Female,Human Resources,Human Resources,3,3,Life Sciences,Married,4,Travel_Rarely,No,9,5,0,0,3.0,3,3,1,4,3,4,2,9756,21,4,No
P-000370,RM1245,30,Female,Research & Development,Research Scientist,1,4,Technical Degree,Single,2,Travel_Frequently,No,10,9,7,0,7.0,4,1,2,3,4,3,2,4968,16,0,No
P-000371,RM1246,24,Male,Human Resources,Human Resources,1,3,Medical,Married,10,Travel_Frequently,No,3,2,2,2,1.0,1,4,3,3,4,3,2,2145,14,0,No
P-000372,RM1247,30,Female,Human Resources,Human Resources,1,3,Human Resources,Divorced,8,Travel_Frequently,No,6,4,2,1,2.0,3,4,2,2,3,3,0,2180,11,6,Yes
P-000373,RM1248,31,Male,Sales,Sales Executive,2,3,Technical Degree,Married,5,Travel_Rarely,No,6,5,2,0,2.0,1,3,3,3,3,3,3,8346,19,1,No
P-000374,RM1249,27,Female,Research & Development,Research Scientist,1,3,Medical,Single,8,Travel_Rarely,No,6,6,2,1,4.0,3,4,3,2,3,3,5,3445,11,1,No
P-000375,RM125,31,Male,Sales,Sales Executive,2,4,Life Sciences,Married,6,Travel_Rarely,Yes,12,7,7,7,7.0,2,3,1,2,2,3,3,6172,18,4,Yes
P-000376,RM1250,29,Female,Sales,Sales Representative,1,3,Marketing,Single,9,Travel_Rarely,No,2,2,2,2,2.0,2,2,1,3,3,3,3,2760,13,1,Yes
P-000377,RM1251,29,Male,Research & Development,Healthcare Representative,2,3,Life Sciences,Single,1,Travel_Frequently,Yes,10,3,2,0,2.0,4,3,4,4,4,3,5,6294,12,8,No
P-000378,RM1252,30,Male,Sales,Sales Executive,3,2,Marketing,Divorced,15,Travel_Rarely,No,12,7,7,1,7.0,3,1,2,3,1,3,2,7140,11,2,No
P-000379,RM1253,34,Male,Research & Development,Research Scientist,1,4,Medical,Married,2,Travel_Rarely,Yes,6,5,0,1,2.0,4,4,4,3,1,3,3,2932,14,0,No
P-000380,RM1254,33,Female,Sales,Sales Executive,2,3,Marketing,Single,2,Non-Travel,No,13,11,7,1,7.0,4,2,3,2,4,3,2,5147,15,8,No
P-000381,RM1255,49,Female,Sales,Sales Executive,2,4,Marketing,Single,11,Travel_Rarely,No,8,5,1,0,4.0,4,4,3,4,3,3,1,4507,12,3,No
P-000382,RM1256,33,Female,Sales,Sales Executive,3,3,Life Sciences,Single,16,Travel_Rarely,Yes,11,0,0,0,0.0,1,1,3,2,3,4,2,8564,20,2,Yes
P-000383,RM1257,38,Female,Research & Development,Laboratory Technician,1,2,Medical,Married,2,Travel_Frequently,No,9,6,1,0,5.0,3,2,2,2,2,3,4,2468,14,4,No
P-000384,RM1258,31,Male,Sales,Sales Executive,3,4,Marketing,Married,16,Travel_Rarely,No,10,1,0,0,0.0,1,3,3,3,1,3,2,8161,13,2,Yes
P-000385,RM1259,29,Female,Research & Development,Research Scientist,1,3,Technical Degree,Divorced,4,Travel_Rarely,No,1,1,0,0,0.0,4,1,2,3,3,3,2,2109,13,1,No
P-000386,RM126,26,Female,Research & Development,Research Scientist,1,3,Other,Married,6,Travel_Rarely,No,5,5,4,4,3.0,3,2,2,2,3,3,3,2368,19,1,No
P-000387,RM1260,30,Male,Research & Development,Healthcare Representative,2,3,Life Sciences,Married,16,Travel_Rarely,No,10,7,0,1,7.0,3,3,4,3,3,3,3,5294,16,3,No
P-000388,RM1261,32,Male,Research & Development,Research Scientist,1,4,Technical Degree,Single,5,Non-Travel,No,12,7,7,0,7.0,2,2,3,3,2,3,3,2718,14,2,No
P-000389,RM1262,38,Male,Research & Development,Healthcare Representative,2,3,Medical,Married,18,Travel_Rarely,Yes,15,1,0,1,0.0,2,4,1,3,3,3,2,5811,16,3,No
P-000390,RM1263,43,Male,Research & Development,Research Scientist,1,3,Technical Degree,Married,17,Travel_Frequently,Yes,6,1,0,0,0.0,3,3,2,3,4,3,4,2437,16,9,Yes
P-000391,RM1264,42,Male,Research & Development,Laboratory Technician,1,3,Medical,Divorced,12,Travel_Rarely,No,7,5,3,0,4.0,2,2,3,2,2,4,6,2766,22,8,No
P-000392,RM1265,55,Male,Research & Development,Research Director,5,3,Medical,Married,2,Travel_Rarely,No,34,1,0,0,0.0,3,1,2,3,2,3,2,19038,12,8,No
P-000393,RM1266,33,Male,Research & Development,Research Scientist,2,3,Technical Degree,Divorced,4,Non-Travel,No,11,9,8,1,7.0,4,2,3,2,4,3,2,3055,15,5,No
P-000394,RM1267,41,Male,Research & Development,Laboratory Technician,1,4,Life Sciences,Divorced,9,Travel_Rarely,No,5,5,3,0,4.0,3,1,3,3,2,4,2,2289,20,1,No
P-000395,RM1268,34,Male,Sales,Sales Executive,2,3,Life Sciences,Divorced,10,Non-Travel,Yes,15,15,14,0,7.0,4,3,3,3,3,3,3,4001,14,1,No
P-000396,RM1269,53,Female,Research & Development,Manufacturing Director,4,4,Medical,Married,1,Non-Travel,Yes,27,3,2,0,2.0,1,3,2,2,4,4,2,12965,20,4,No
P-000397,RM127,58,Female,Research & Development,Healthcare Representative,3,4,Medical,Married,23,Travel_Rarely,No,40,40,10,15,6.0,4,4,3,2,4,3,3,10312,12,1,Yes
P-000398,RM1270,43,Male,Human Resources,Human Resources,1,3,Life Sciences,Single,2,Travel_Rarely,No,10,9,7,1,8.0,2,4,3,3,2,3,5,3539,13,0,No
P-000399,RM1271,34,Female,Sales,Sales Executive,2,2,Life Sciences,Single,3,Travel_Rarely,No,6,2,2,2,2.0,4,4,1,3,1,3,3,6029,12,5,No
P-000400,RM1272,21,Male,Sales,Sales Representative,1,1,Marketing,Single,7,Travel_Rarely,No,1,1,0,1,0.0,2,2,3,3,2,3,3,2679,13,1,Yes
P-000401,RM1273,38,Female,Research & Development,Laboratory Technician,1,2,Other,Married,6,Travel_Rarely,No,5,5,4,0,4.0,4,3,2,3,2,3,3,3702,11,1,No
P-000402,RM1274,22,Female,Research & Development,Laboratory Technician,1,1,Medical,Married,8,Travel_Rarely,Yes,1,1,0,0,0.0,3,1,3,3,3,3,6,2398,17,1,Yes
P-000403,RM1275,31,Female,Sales,Sales Executive,2,4,Marketing,Married,29,Travel_Rarely,No,13,12,7,5,7.0,1,4,2,3,1,3,3,5468,14,1,No
P-000404,RM1276,51,Female,Research & Development,Manager,3,3,Technical Degree,Married,3,Travel_Rarely,No,15,2,2,2,2.0,1,3,3,3,4,3,2,13116,11,2,No
P-000405,RM1277,37,Male,Sales,Sales Executive,2,2,Marketing,Married,9,Travel_Rarely,No,5,5,2,0,3.0,2,2,2,3,1,3,2,4189,14,1,No
P-000406,RM1278,46,Male,Research & Development,Research Director,5,4,Medical,Divorced,2,Travel_Rarely,Yes,24,2,1,2,2.0,3,4,3,3,3,3,3,19328,17,7,No
P-000407,RM1279,36,Male,Research & Development,Healthcare Representative,3,3,Life Sciences,Married,10,Travel_Rarely,Yes,15,12,8,5,7.0,4,1,3,3,4,3,1,8321,13,7,No
P-000408,RM128,19,Male,Sales,Sales Representative,1,1,Marketing,Single,22,Travel_Rarely,Yes,0,0,0,0,0.0,4,3,3,2,4,3,2,1675,19,1,Yes
P-000409,RM1280,44,Male,Research & Development,Research Scientist,1,2,Medical,Divorced,1,Travel_Frequently,Yes,6,5,3,2,3.0,3,2,3,2,3,3,2,2342,12,1,Yes
P-000410,RM1281,37,Male,Human Resources,Human Resources,2,2,Other,Divorced,8,Travel_Rarely,No,19,10,0,4,7.0,3,2,3,2,3,3,4,4071,13,2,No
P-000411,RM1282,35,Male,Sales,Sales Executive,2,3,Life Sciences,Single,27,Travel_Rarely,Yes,10,10,7,7,7.0,3,4,3,3,4,3,2,5813,18,1,Yes
P-000412,RM1283,33,Male,Research & Development,Research Scientist,1,4,Life Sciences,Married,8,Travel_Rarely,No,14,10,8,7,6.0,4,1,4,3,2,3,1,3143,19,6,No
P-000413,RM1284,28,Male,Research & Development,Research Scientist,1,3,Life Sciences,Married,1,Travel_Rarely,No,5,5,3,0,3.0,3,4,3,4,3,3,6,2044,11,1,No
P-000414,RM1285,39,Male,Research & Development,Research Director,3,1,Medical,Single,10,Travel_Rarely,No,9,4,3,2,2.0,3,3,3,3,3,4,3,13464,21,7,No
P-000415,RM1286,46,Male,Sales,Sales Executive,2,2,Life Sciences,Single,26,Non-Travel,No,6,2,2,2,2.0,2,2,2,3,3,3,3,7991,15,8,No
P-000416,RM1287,40,Female,Research & Development,Laboratory Technician,1,2,Life Sciences,Married,2,Travel_Rarely,No,7,4,3,0,2.0,3,1,3,2,4,3,5,3377,17,4,No
P-000417,RM1288,42,Male,Research & Development,Healthcare Representative,2,3,Medical,Married,13,Travel_Rarely,No,10,0,0,0,0.0,2,1,4,2,3,3,2,5538,18,5,No
P-000418,RM1289,35,Male,Research & Development,Manufacturing Director,2,2,Medical,Divorced,2,Non-Travel,No,15,7,7,1,7.0,2,4,3,3,3,3,6,5762,14,2,No
P-000419,RM129,22,Male,Research & Development,Laboratory Technician,1,1,Technical Degree,Married,2,Travel_Rarely,No,3,2,1,2,1.0,3,4,3,3,3,3,2,2523,14,0,No
P-000420,RM1290,38,Male,Human Resources,Human Resources,1,3,Human Resources,Divorced,2,Non-Travel,No,13,11,10,3,8.0,1,2,3,3,4,3,3,2592,13,5,No
P-000421,RM1291,34,Male,Research & Development,Laboratory Technician,2,4,Life Sciences,Married,9,Travel_Frequently,No,11,7,1,0,7.0,4,1,3,2,3,3,3,5346,17,4,Yes
P-000422,RM1292,37,Male,Research & Development,Manufacturing Director,2,4,Medical,Single,10,Travel_Rarely,No,10,10,3,0,8.0,4,1,3,1,2,3,4,4213,15,1,Yes
P-000423,RM1293,39,Male,Sales,Sales Executive,2,3,Life Sciences,Divorced,20,Travel_Frequently,No,7,2,1,2,2.0,3,4,3,3,4,3,6,4127,18,2,No
P-000424,RM1294,43,Male,Research & Development,Research Scientist,1,3,Life Sciences,Single,9,Non-Travel,No,7,3,2,1,2.0,1,3,3,2,3,3,2,2438,13,4,No
P-000425,RM1295,41,Male,Research & Development,Healthcare Representative,2,3,Life Sciences,Single,5,Travel_Rarely,No,11,3,2,1,2.0,2,2,4,1,1,3,3,6870,12,3,No
P-000426,RM1296,41,Female,Sales,Sales Executive,3,1,Marketing,Divorced,4,Travel_Rarely,Yes,23,22,14,13,5.0,3,3,3,4,4,3,3,10447,13,0,No
P-000427,RM1297,30,Female,Research & Development,Manufacturing Director,3,3,Medical,Single,10,Travel_Rarely,No,9,7,7,0,2.0,1,3,3,3,2,3,3,9667,14,9,No
P-000428,RM1298,26,Female,Human Resources,Human Resources,1,2,Medical,Married,20,Travel_Rarely,Yes,6,5,1,1,4.0,4,2,3,3,3,3,3,2148,11,0,Yes
P-000429,RM1299,46,Female,Research & Development,Healthcare Representative,2,2,Medical,Married,21,Travel_Rarely,No,13,9,7,3,7.0,4,2,3,4,4,4,2,8926,22,4,Yes
P-000430,RM130,49,Female,Research & Development,Manufacturing Director,2,4,Medical,Married,20,Travel_Rarely,No,16,15,11,5,11.0,3,1,3,2,3,3,2,6567,14,1,No
P-000431,RM1300,40,Female,Research & Development,Healthcare Representative,2,3,Life Sciences,Divorced,1,Travel_Rarely,No,12,5,3,0,3.0,3,4,3,3,4,3,3,6513,17,4,No
P-000432,RM1301,34,Male,Sales,Sales Executive,2,2,Technical Degree,Married,8,Travel_Rarely,No,10,10,8,4,8.0,2,3,4,3,3,4,5,6799,21,1,No
P-000433,RM1302,58,Male,Sales,Manager,4,3,Medical,Divorced,2,Non-Travel,No,37,16,9,14,14.0,2,2,3,2,4,4,0,16291,22,4,No
P-000434,RM1303,35,Male,Research & Development,Laboratory Technician,1,4,Medical,Married,23,Travel_Rarely,No,6,5,4,0,3.0,2,3,1,4,2,3,2,2705,16,0,No
P-000435,RM1304,47,Female,Research & Development,Manufacturing Director,3,3,Life Sciences,Divorced,4,Travel_Rarely,Yes,28,22,11,14,10.0,3,2,2,3,3,3,4,10333,12,8,No
P-000436,RM1305,40,Female,Research & Development,Healthcare Representative,2,3,Life Sciences,Divorced,12,Travel_Rarely,No,15,7,4,7,7.0,2,1,3,3,2,3,3,4448,12,2,No
P-000437,RM1306,54,Female,Research & Development,Research Scientist,2,4,Medical,Married,7,Travel_Rarely,No,14,7,1,1,7.0,4,4,3,2,2,3,2,6854,15,4,No
P-000438,RM1307,31,Female,Sales,Sales Executive,3,4,Marketing,Married,7,Travel_Frequently,No,9,3,2,2,2.0,1,1,3,3,4,3,3,9637,14,2,No
P-000439,RM1308,28,Female,Research & Development,Research Scientist,1,3,Medical,Married,1,Travel_Rarely,No,3,3,2,1,2.0,3,1,3,3,3,4,3,3591,25,1,No
P-000440,RM1309,38,Female,Sales,Sales Representative,2,4,Marketing,Married,2,Travel_Rarely,Yes,20,4,2,0,3.0,2,4,1,2,1,4,4,5405,20,2,No
P-000441,RM131,43,Female,Research & Development,Research Scientist,1,3,Medical,Single,28,Travel_Frequently,No,18,3,2,1,2.0,2,3,4,3,4,3,2,4739,12,4,No
P-000442,RM1310,26,Male,Sales,Sales Executive,2,3,Medical,Single,10,Travel_Rarely,No,5,5,3,1,2.0,3,4,3,3,1,3,4,4684,13,1,No
P-000443,RM1311,58,Male,Research & Development,Research Director,4,4,Life Sciences,Married,15,Travel_Frequently,Yes,23,2,2,2,2.0,1,3,3,3,2,3,3,15787,14,2,No
P-000444,RM1312,18,Female,Research & Development,Research Scientist,1,3,Medical,Single,14,Non-Travel,No,0,0,0,0,0.0,2,3,3,1,3,3,4,1514,16,1,No
P-000445,RM1313,31,Male,Human Resources,Human Resources,1,5,Human Resources,Married,18,Travel_Rarely,No,2,1,0,0,0.0,4,1,4,3,3,3,4,2956,17,0,Yes
P-000446,RM1314,29,Male,Human Resources,Human Resources,1,3,Human Resources,Divorced,13,Travel_Rarely,Yes,4,2,2,2,0.0,1,1,2,3,4,3,3,2335,15,4,Yes
P-000447,RM1315,45,Female,Sales,Sales Executive,2,4,Life Sciences,Married,2,Non-Travel,No,10,8,7,5,7.0,3,3,3,4,2,4,3,5154,22,4,No
P-000448,RM1316,36,Female,Research & Development,Research Scientist,2,4,Other,Married,2,Travel_Rarely,Yes,15,1,0,0,0.0,4,2,3,3,4,4,2,6962,22,4,No
P-000449,RM1317,43,Male,Sales,Sales Executive,2,4,Life Sciences,Married,2,Travel_Frequently,No,7,7,7,7,7.0,1,4,3,3,3,4,5,5675,20,1,No
P-000450,RM1318,27,Female,Research & Development,Laboratory Technician,1,2,Life Sciences,Single,5,Travel_Frequently,Yes,6,5,4,0,2.0,4,4,3,2,3,3,3,2379,14,0,No
P-000451,RM1319,29,Male,Research & Development,Laboratory Technician,1,1,Medical,Married,20,Travel_Frequently,No,11,11,8,3,10.0,4,4,3,4,2,3,3,3812,13,1,No
P-000452,RM132,50,Female,Sales,Sales Executive,3,3,Marketing,Single,12,Travel_Frequently,No,16,2,2,2,1.0,3,4,3,3,4,3,3,9208,11,4,No
P-000453,RM1320,32,Male,Sales,Sales Executive,2,4,Marketing,Single,10,Travel_Frequently,No,4,0,0,0,0.0,4,4,3,4,3,3,2,4648,13,8,No
P-000454,RM1321,42,Male,Research & Development,Research Scientist,1,4,Technical Degree,Married,10,Non-Travel,No,10,6,3,3,3.0,3,3,3,2,2,4,1,2936,22,3,No
P-000455,RM1322,47,Female,Research & Development,Laboratory Technician,1,4,Life Sciences,Single,9,Travel_Rarely,No,7,2,2,2,0.0,2,3,3,3,3,3,2,2105,12,4,No
P-000456,RM1323,46,Male,Research & Development,Manufacturing Director,3,2,Life Sciences,Divorced,2,Travel_Rarely,No,12,9,8,4,7.0,4,4,3,2,3,3,4,8578,14,3,No
P-000457,RM1324,28,Male,Human Resources,Human Resources,1,2,Life Sciences,Divorced,1,Non-Travel,No,3,3,2,2,2.0,3,4,3,3,2,3,2,2706,15,1,No
P-000458,RM1325,29,Male,Research & Development,Healthcare Representative,2,1,Life Sciences,Divorced,29,Travel_Rarely,No,11,7,0,1,6.0,4,3,1,3,4,3,3,6384,17,8,No
P-000459,RM1326,42,Male,Research & Development,Laboratory Technician,1,3,Life Sciences,Single,8,Travel_Rarely,No,8,0,0,0,0.0,4,3,3,3,4,3,3,3968,13,4,No
P-000460,RM1327,32,Male,Sales,Sales Executive,2,4,Marketing,Single,2,Travel_Rarely,Yes,7,2,2,2,2.0,3,2,2,2,3,3,3,9907,12,7,Yes
P-000461,RM1328,46,Female,Sales,Sales Executive,4,3,Technical Degree,Divorced,3,Travel_Rarely,No,25,19,17,2,8.0,1,1,4,3,4,3,5,13225,12,2,No
P-000462,RM1329,27,Female,Sales,Sales Representative,2,1,Medical,Married,23,Travel_Rarely,No,9,9,8,5,8.0,2,3,2,3,4,4,5,3540,21,1,No
P-000463,RM133,31,Female,Sales,Sales Executive,2,3,Life Sciences,Married,20,Travel_Rarely,Yes,4,2,2,2,2.0,2,3,1,3,3,3,2,4559,11,3,Yes
P-000464,RM1330,29,Male,Human Resources,Human Resources,1,1,Medical,Married,6,TravelRarely,No,1,1,0,0,0.0,4,2,2,3,4,3,3,2804,11,1,No
P-000465,RM1331,43,Female,Research & Development,Manager,5,3,Medical,Married,6,Travel_Rarely,No,21,16,12,6,14.0,1,3,2,3,4,3,2,19392,13,7,No
P-000466,RM1332,48,Male,Research & Development,Research Director,5,3,Life Sciences,Married,10,Travel_Rarely,No,29,22,10,12,9.0,4,2,2,3,4,3,3,19665,12,4,No
P-000467,RM1333,29,Male,Research & Development,Research Scientist,1,2,Life Sciences,Single,24,Travel_Frequently,Yes,1,1,0,1,0.0,4,4,2,2,2,4,3,2439,24,1,Yes
P-000468,RM1334,46,Female,Sales,Sales Executive,3,3,Life Sciences,Married,10,Travel_Rarely,No,14,8,7,0,7.0,3,2,3,3,3,4,2,7314,21,5,Yes
P-000469,RM1335,27,Female,Research & Development,Research Scientist,1,3,Life Sciences,Married,15,Travel_Frequently,No,8,7,6,7,3.0,4,1,2,2,4,3,2,4774,19,0,No
P-000470,RM1336,39,Male,Research & Development,Research Scientist,2,4,Other,Divorced,19,Travel_Rarely,No,7,2,2,2,2.0,4,4,3,3,2,3,2,3902,14,8,No
P-000471,RM1337,55,Male,Research & Development,Research Scientist,1,4,Technical Degree,Married,2,Travel_Rarely,No,19,5,2,0,4.0,2,4,2,4,2,4,2,2662,20,8,No
